Name,url,tags
The Surge 2,https://store.steampowered.com/app/644830/The_Surge_2/?snr=1_7_7_7000_150_4,"Souls-like,RPG,Action,Open World,Violent,Sci-fi,Difficult,Singleplayer,Third Person,Cyberpunk,Character Customization,Multiplayer,Gore,Mechs,Hack and Slash,Action RPG,Female Protagonist,Robots,Nudity,Co-op"
Car Mechanic Simulator 2021,https://store.steampowered.com/app/1190000/Car_Mechanic_Simulator_2021/?snr=1_7_7_7000_150_4,"Simulation,Automobile Sim,Sandbox,Realistic,Racing,Moddable,Driving,3D,Immersive Sim,Education,First-Person,Singleplayer,Puzzle,Open World,Atmospheric,Adventure,Minigames,Indie,Strategy,Great Soundtrack"
Scrap Mechanic,https://store.steampowered.com/app/387990/Scrap_Mechanic/?snr=1_7_7_7000_150_4,"Building,Sandbox,Open World,Survival,Multiplayer,Physics,Crafting,Base Building,Co-op,Singleplayer,First-Person,Adventure,Third Person,Funny,Simulation,Early Access,Action,Indie,Moddable,Online Co-Op"
A Plague Tale: Requiem,https://store.steampowered.com/app/1182900/A_Plague_Tale_Requiem/?snr=1_7_7_7000_150_4,"Adventure,Action,Action-Adventure,Exploration,Interactive Fiction,Cinematic,3D,Third Person,Realistic,Atmospheric,Alternate History,Dark,Emotional,Female Protagonist,Drama,Medieval,Historical,Singleplayer,Mystery,Narration"
Rising Storm 2: Vietnam,https://store.steampowered.com/app/418460/Rising_Storm_2_Vietnam/?snr=1_7_7_7000_150_4,"FPS,War,Realistic,Military,Multiplayer,Shooter,Tactical,Action,First-Person,Historical,Team-Based,Simulation,Gore,Cold War,Atmospheric,Singleplayer,Massively Multiplayer,Violent,Strategy,Indie"
"Ranch Simulator - Build, Farm, Hunt",https://store.steampowered.com/app/1119730/Ranch_Simulator__Build_Farm_Hunt/?snr=1_7_7_7000_150_4,"Early Access,Simulation,Multiplayer,Online Co-Op,Open World,Farming Sim,Farming,Job Simulator,Co-op,Realistic,Hunting,Sandbox,Singleplayer,Destruction,Management,Trading,Economy,Immersive Sim,Relaxing,Indie"
Train Sim World® 3,https://store.steampowered.com/app/1944790/Train_Sim_World_3/?snr=1_7_7_7000_150_4,"Simulation,Trains,Driving,Realistic,Singleplayer,Transportation,First-Person,Relaxing,Physics,Family Friendly,Immersive Sim,Atmospheric,Multiplayer,Automobile Sim,Open World,Story Rich,Mature,Adventure,Psychological Horror,Survival Horror"
Empires of the Undergrowth,https://store.steampowered.com/app/463530/Empires_of_the_Undergrowth/?snr=1_7_7_7000_150_5,"Strategy,Simulation,Base Building,City Builder,Colony Sim,Building,Management,Survival,Sandbox,Resource Management,RTS,Moddable,Open World,Economy,Singleplayer,Crafting,Automation,2D,Early Access,Replay Value"
Killing Floor,https://store.steampowered.com/app/1250/Killing_Floor/?snr=1_7_7_7000_150_5,"FPS,Zombies,Co-op,Survival,Horror,Action,Multiplayer,Online Co-Op,Gore,Shooter,Team-Based,First-Person,Survival Horror,Moddable,Great Soundtrack,Class-Based,Singleplayer,Difficult,Comedy,Adventure"
Atlantica Global,https://store.steampowered.com/app/1232420/Atlantica_Global/?snr=1_7_7_7000_150_5,"Free to Play,RPG,Massively Multiplayer,Adventure,Strategy,Action,Casual,Nudity,Turn-Based Combat,MMORPG,Anime,Turn-Based"
